품명부호,품목식별지침부호,품명(한글),품명(영문),품명정의(한글),품명정의(영문)
1,A516K0,전자관,ELECTRON TUBE,"두개 이상의 전극을 가진 관으로써 전자가 진공이나 내포된 가스를 통하여 흐를 수 있으며, 전자의 이동은 음극에서 전자를 내보내서 이루어지든가 내부가스의 이온화가 있어서 발생된다. 광전관(광방출형만),가이거-뮐러관,마이크로웨이브관(클라이스트론,마그네트론 등)을 포함하나 주 목적이 광에너지를 내기 위한 품목들은 제외한다. 제외:""PHOTOELECTRIC CELL"", ""SEMICONDUCTOR DEVICE(서술된 품목)"" ","An enclosure, including two or more electrodes, in which a flow of electrons may occur through a vacuum or a contained gas. The electronic conduction takes place either by means of electrons emitted from a cathode or by ionization of the contained gas. Includes phototubes (photoemissive type only), Geiger-Mueller tubes, traveling wave tubes, cathode ray tubes and microwave tubes (Klystron, magnetron, or the like). Excludes:items whose primary purpose is to produce light energy; PHOTOELECTRIC CELL; and SEMICONDUCTOR DEVICE (as  modified)."
3,A010B0,"축전기,고정식,종이 유전체형","CAPACITOR,FIXED,PAPER DIELECTRIC",용량치가 조정되거나 가변될 수 없으며 유전체로서 종이를 사용한 캐패시터로서 단일 구성요소로 구성되거나 분리 될 수 없는  둘 또는 그 이상의 고정요소로 구성된다.,"A capacitor whose capacitance value cannot be adjusted or varied, having paper as the dielectric material.  It may be a single unit or consist of two or more fixed units which cannot be seperated.  For items whose dielectric material consist of plasticized (plastic impregnated) paper or paper-plastic combinations, see CAPACITOR, FIXED, PLASTIC DIELECTRIC.  For items whose electrodes consist of a metallic film deposited (metallized) on the dielectric material, see CAPACITOR, FIXED, METALIZED, PAPER-PLASTIC DIELECTRIC."
4,A010B0,"축전기,고정식,유리 유전체형","CAPACITOR,FIXED,GLASS DIELECTRIC","용량치가 조정되거나 가변될 수 없으며 유전체로서 유리(실리카)또는 유리와 유사한 물질(예:사기, 유리에나멜) 을 갖는 품목. 이 품목은 단일는 구성요소로 구성되거나 분리될 수 없는 둘 또는 그 이상의 고정요소로 구성될 수 있다.","A capacitor, whose capacitance value cannot be adjusted or varied, having a glass (silicas) or glass like substance (e.g., porcelain, vitreous enamel) as the dielectric material.  It may be a single unit, or consist of two or more fixed units which cannot be separated."
5,A010B0,"축전기,고정식,운모 유전체형","CAPACITOR,FIXED,MICA DIELECTRIC",용량치가 조정되거나 가변될 수 없으며 유전체로서 자연상태 의 운모판이나 운모조각으로 재생시킨 엷은 판을 갖는 캐패 시터. 이 품목은 단일 구성요소로 구성되거나 분리될 수 없는 둘 또는 그 이상의 구성요소로 구성된다.,"A capacitor, whose capacitance value cannot be adjusted or varied, having natural sheet mica or reconstituted flaked mica formed into sheets as the dielectric material.  It may be a single unit, or consist of two or more fixed units which cannot be separated."
6,A010B0,"축전기,고정식,플라스틱 유전체형","CAPACITOR,FIXED,PLASTIC DIELECTRIC",용량치가 조정되거나 가변될 수 없으며 유전체로서 프라스틱이 나 프라스틱 피막이나 프라스틱 종이(프라스틱을 입힌 종이) 또는 프라스틱과 종이의 조합이나 프라스틱과 종이 피막의 조합으로 되어있는 캐패시터. 프라스틱은 포리에스터와 포리프로라이드와 포 리카보네이트 그리고 이상의 화합물과 유사한물질들과 같은 하나 또는 그 이상의 형태를 갖는 합성수지로 되어있다. 이 품 목은 단일 구성요소로 구성되거나 분리될 수 없는 둘 또는 그 이상의 고정요소를 구성된다.,"A capacitor whose capacitance value cannot be adjusted or varied, having a plastic, plastic film, plasticized (plastic impregnated) paper, or any combination of plastic and paper or plastic and paper films as the dielectric material. The plastic may be one or more types of synthetic compounds such as polyesters, polyfluorides, polycabonates, and the like. It may be a single unit, or consist of two or more fixed units which cannot be separated. For items whose electrodes consist of a metallic film deposited (metallized) on the dielectric material, see CAPACITOR, FIXED, METALLIZED, PAPER-PLASTIC DIELECTRIC."
7,A010B0,"축전기,고정식,세라믹 유전체형","CAPACITOR,FIXED,CERAMIC DIELECTRIC",용량치가 조정되거나 가변될 수 없으며 쎄라믹 유전체를 갖는 품목. 이 품목은 단일 구성요소로 구성되거나 분리될 수 없는 둘 또는 그 이상의 고정요소로 구성될 수 있다.,"A capacitor, whose capacitance value cannot be adjusted or varied, having a ceramic dielectric.  It may be a single unit, or consist of two or more fixed units which cannot be separated."
8,A010B0,"축전기,고정식,전기분해형","CAPACITOR,FIXED,ELECTROLYTIC",정전용량치가 조정되거나 변할수 없는 품목으로써 유전체로서의 화학적 형성 필름으로 되어 있으며 단일 유니트이거나 고정된 둘 이상의 고정유니트로 구성되어 있다.,"A capacitor, whose capacitance value cannot be adjusted or varied, having a chemically formed film as the dielectric.  It may be a single unit, or consist of two or more fixed units which cannot be separated."
9,A001A0,"저항기,조절식","RESISTOR,ADJUSTABLE","완전한 저항기의 범위내에 필요한 저항치를 포함하기 위해 사용하기 전에 장치하여 고정시키도록 설계된 전체저항치가 일정한 저항기로써,부가하여 하나 이상의 가동단자가 있다.전류 흐름의 반대편은 사용된 물질의 고유성이며 품목 자체에서 소모된 열로 나타난다.","A resistor whose overall ohmic value is fixed; in addition, it has one or more movable terminals which are designed to be set and fixed prior to use, to include any desired value of resistance within the range of the complete resistor. The opposition to the flow of current is an inherent property of the material used and is manifest in the heat dissipated in the item itself."
10,A001A0,"저항기,고정식,권선형","RESISTOR,FIXED,WIRE","옴가가 조정 또는 변화될 수 없는 저항기로써 저항전극은 절연형태로 감겨졌던가 자체를 지지할 수 있도록 고저항전선(또는 리본선)으로 구성되었다. 전류 흐름의 반대편은 저항전선의 고유성이며 저항기에서 소모된 열로 나타난다. 제외:SUPPRESSOR,IGNITION INTERFERENCE","A resistor whose ohmic value cannot be adjusted or varied. The resistance element consists of high resistance wire (or ribbon) either wound on an insulated form or constructed so as to be self supporting. Opposition to the flow of current is an inherent property of the resistance wire and is manifest by the heat dissipation in the resistor. Excludes:SUPPRESSOR,IGNITION INTERFERENCE."
13,T139-A,"전지,축전식","BATTERY,STORAGE","방전전류인 반대방향의 셀을 통하여 전류를 보내므로서 효율적으로 방전되고, 쉽게 분리되기도 하는 단일유니트를 형성하는 두개 이상의 셀로 구성된 전지이다.통합 충전시설로 설비되어 있으며,단일 셀로 구성된 품목은 ""CELL BATTERY""를 참조한다.","A battery, composed of two or more cells forming a single unit, which may or may not be readily separable and which may be efficiently recharged by sending an electric current through the cells in a direction opposite that of the discharging current.  The item may be furnished with integral charging facilities.  For items which are composed of a single cell see CELL, BATTERY."
