순번,표제어,대분류,영문,설명,출처,출처1,중분류
1,"""37"" 국가 재고 번호 품목",사업/계약관리,National Stock Number Item,"‘37’국가재고번호는 대한민국 군수품의 국가재고번호로서 나토(NATO)에서 부여한 대한민국 군수품의 국가재고번호이며, ‘37’국가재고번호 품목은 국내자본이나 기술에 의해 국내ㆍ외에서 독자적으로 개발된 품목 또는 외국 제품 중 국내개발 시 형상 등이 기존품목과 다르게 개량된 품목이다. ‘37’국가재고번호의 부여대상은 대체로 연구개발 품목, 성능 및 품질개선품목, 국내 기술에 의거 조립생산 된 품목, 국내생산 사용품 중 군수품으로 대체된 품목 등이 이에 해당된다. 1. 국가재고번호(National Stock Number : NSN) : 보급품목을 식별하기 위하여 세계 전 국가에서 공히 사용되는 재고번호로서 그 구성은 13자리 숫자로 되어 있으며 4자리는 군급 분류부호(FSC)를 그대로 적용하고 다음 2자리의 국가부호국부호(NCB Code)와 마지막 7자리는 품목식별번호(IIN)로 구성되어 있다. 2. 국가부호국 부호(National Codification Bureau Code : NCB Code) : 국가재고번호 중 군급분류번호(FSC) 다음 2자리 숫자로 구성되며 각 국별 부호는 다음 표와 같다. @{2_nsni.JPG}",방사청용어국방부군수전력용어사전KIMA,"국방전력발전업무훈령, 개정 2012.  2. 3.  훈령 제1388호",국제계약
2,127밀리 함포 탄약,무기체계,127milli Naval Gun Shell,08년도부터 전력화된 해군의 주력함포인 127밀리 함포용 탄약으로 '05~'08기간 중 국내개발에 성공하였다.,방사청용어,방사청홈페이지,기동화력
3,1차 협력 업체,사업/계약관리,1st Cooperative Firm,계약과 관련하여 계약상대자로부터 하도급을 받은 자연인 또는 법인을 말한다.,방위사업청 예규제148호,일반무기체계 연구개발 계약특수조건 표준,계약관리
4,2S19 자주포,무기체계,2S19 Self-propelled Artillery,"러시아에서 개발한 최대사거리 29km, 전투중량 42톤, 방열 및 사격통제를 수동 통제하는 최고 수준의 자주포이다.",방사청용어,방사청홈페이지,기동화력
5,2단계 경쟁 입찰,사업/계약관리,2nd Competitive Bidding,"1. 물품의 제조, 구매 또는 용역계약에 있어서 미리 적절한 규격 등의 작성이 곤란하거나 기타 계약상 필요하다고 인정될 때에는 1단계로 규격 및 기술입찰을 실시한 후 2단계로 가격입찰을 실시할 수 있다. 이는 일정한 성능과 규격, 기술 등을 갖춘 제품을 선택한 후에 가격으로 경쟁시키기 위한 것으로 제조업 제품의 성능향상과 기술개발을 촉진시키기 위한 제도이다. 2단계 경쟁입찰은 먼저 규격 또는 기술입찰을 개찰하여 적격자로 확정된 자에 한하여 가격입찰에 참가할 수 있는 자격을 부여한다. 2. 규격 또는 기술입찰을 우선 실시하고 적격자로 확정된 자에 한하여 가격입찰에 참가토록 하는 제도를 말한다. 입찰 전 적절한 규격 작성이 곤란한 사례로는 육군전술 C4I체계 시험평가용 상용장비를 들 수 있다.",1. KIMA 2. 국방부군수전력용어사전,계약상식 질의응답집,계약관리
6,2차 협력 업체,사업/계약관리,2nd Cooperative Firm,1차 협력업체로부터 재하도급을 받은 자연인 또는 법인을 말한다.,방위사업청 예규제148호,일반무기체계 연구개발 계약특수조건 표준,계약관리
7,30mm 자주 대공포,무기체계,Self-Propelled AA 30mm Twin-Gun System,"30mm자주대공포는 K-30 비호의 사업명으로 국내 기술로 개발된 30mm 쌍열 대공화기로 적 항공기의 저공 기습으로부터 아군의 주요 시설 및 지상 기동부대 방어를 주 목적으로 하는 무기체계다. 무기의 연구와 개발은 국방과학연구소가 주관하고 두산 DST 등 국내 방위사업체가 참여해 전력화에 이르렀다.  1983년 개발에 착수하여 1991년에 개발이 완료되었으나 보완과정을 거쳐 1996년 비로소 초도 생산에 착수, 여러 차례의 성능 개선 작업을 거쳐 1999년 육군에 처음 인도됐다. K-30 자주대공포 체계는 한국형 장갑차 위에 포탑을 장착한 것으로 30mm 쌍열포를 중심으로 각종 표적 탐지와 추적 장비, 사통 컴퓨터 및 사용자 콘솔을 포함하고 있다.  특히 포탑에 장착된 포 체계의 경우 국내에서 자체 개발한 KKCB 자동식 포 2문을 장착하고 있는데 각각의 포체계는 HE, HE-I 탄을 분당 600발 가량 발사할 수 있다. 차체는 K-200의 차체를 기본으로 했으나 K200보다 보기륜을 1개 추가했고, 520마력의 D-2480L형 디젤엔진과 HMPT-500EK 무단자동변속기를 각각 장착하고 있다. 이와 함께 피아 식별과 이동표적 식별 능력을 가진 탐지 레이더가 탑재됐는데 탐지 레이더는 사통 컴퓨터와 탐색 중 추적 기능을 통해, 연동돼 탐지된 표적 정보를 전자 광학 추적기 및 조준 유닛으로 전달해 표적 추적이 용이하게 했다.  표적의 17km에 이르는 거리를 탐지할 수 있으며 7km에 걸쳐 추적이 가능하고 레이시온사에서 개발해 삼성전자가 생산한 전자광학식조준경을 이용해 표적을 파괴할 수 있도록 설계됐다.",방사청용어,네이버 블로그,기동화력
8,40mm/L70(T)2연장 함포,무기체계,40㎜ Twin Naval Gun System,☞ 노봉,방사청용어,해군본부 홈페이지,함정
9,6개월 운영 자금,사업/계약관리,,미 국방재무회계본부(DFAS)의 인출소요에 대비하는 FRB 대기성 운영자금으로 대금청구서(Billing Statement) 발행 직전 6개월간 인출액을 평균한 금액에 6개월을 곱한 금액을 말한다.,방위사업청,FMS 실무참고서,국제계약
10,88전차,무기체계,88-Tank,K1전차의 통상명칭이다. ☞ K1 전차,방사청용어,,기동화력
